Date,SPY,TLT,HYG,LQD,AGG
2007-04-11,101.96012878417969,49.518253326416016,32.80084228515625,51.41439437866211,56.888675689697266
2007-04-12,102.41319274902344,49.5295524597168,32.82279968261719,51.49177932739258,56.957218170166016
2007-04-13,102.88046264648438,49.37660217285156,32.763092041015625,51.404727935791016,56.8658447265625
2007-04-16,103.85741424560547,49.64860153198242,32.750526428222656,51.44825744628906,56.98006820678711
2007-04-17,104.13355255126953,49.92636489868164,32.734825134277344,51.72869110107422,57.14561080932617
2007-04-18,104.26100158691406,50.17570877075195,32.74425506591797,51.74323272705078,57.23133087158203
2007-04-19,104.23262023925781,50.09068298339844,32.85740661621094,51.7771110534668,57.208457946777344
2007-04-20,105.2166748046875,49.96031188964844,32.83854675292969,51.7625732421875,57.179927825927734
2007-04-23,104.82027435302734,50.14167785644531,32.85740661621094,51.9124755859375,57.23695755004883
2007-04-24,104.86273956298828,50.328739166259766,33.083740234375,52.04303741455078,57.26554489135742
2007-04-25,105.8255615234375,50.15301513671875,33.134029388427734,51.97053146362305,57.2883186340332
2007-04-26,105.94589233398438,49.790306091308594,33.19375991821289,51.859310150146484,57.179927825927734
2007-04-27,105.86096954345703,49.77895736694336,33.19375991821289,51.84480285644531,57.16844177246094
2007-04-30,104.98310852050781,50.30036926269531,33.19689178466797,52.09626770019531,57.362613677978516
2007-05-01,105.25214385986328,50.33678436279297,33.20098876953125,52.06711196899414,57.32937240600586
2007-05-02,105.86801147460938,50.308372497558594,33.18836212158203,52.05250549316406,57.346534729003906
2007-05-03,106.4415283203125,50.19455337524414,33.1915168762207,51.97966766357422,57.28347396850586
2007-05-04,106.84500885009766,50.39937210083008,33.23248291015625,52.105995178222656,57.358028411865234
2007-05-07,106.8661880493164,50.5359001159668,33.229347229003906,52.16910934448242,57.41530990600586
2007-05-08,106.72467041015625,50.4221076965332,33.25456237792969,52.139976501464844,57.35231399536133
2007-05-09,107.0149154663086,50.222999572753906,33.1662712097168,52.05741882324219,57.28347396850586
2007-05-10,105.89636993408203,50.34247589111328,33.28609085083008,52.081729888916016,57.38095474243164
2007-05-11,106.80252075195312,50.1661491394043,33.30500030517578,52.028228759765625,57.26631164550781
2007-05-14,106.5689468383789,50.035274505615234,33.301876068115234,51.974815368652344,57.27778625488281
2007-05-15,106.59718322753906,50.01819610595703,33.276649475097656,51.858219146728516,57.25487518310547
2007-05-16,107.32644653320312,49.98411178588867,33.36488723754883,51.97966766357422,57.26631164550781
2007-05-17,107.11408233642578,49.77933883666992,33.355438232421875,51.82426452636719,57.168914794921875
2007-05-18,108.04852294921875,49.44939422607422,33.36488723754883,51.67850875854492,57.002685546875
2007-05-21,107.99193572998047,49.597286224365234,33.39640426635742,51.74650955200195,57.117279052734375
2007-05-22,107.90691375732422,49.34131622314453,33.39954376220703,51.58135986328125,57.002685546875
2007-05-23,107.92105865478516,49.19911193847656,33.374351501464844,51.53276443481445,56.95683670043945
2007-05-24,106.94415283203125,49.244606018066406,33.383811950683594,51.59592819213867,56.97977828979492
2007-05-25,107.39014434814453,49.13087463378906,33.431095123291016,51.56192398071289,56.95106506347656
2007-05-29,107.77954864501953,49.12519073486328,33.29871368408203,51.459957122802734,56.89378356933594
2007-05-30,108.65740966796875,49.227561950683594,33.374351501464844,51.49878692626953,56.96251678466797
2007-05-31,108.54414367675781,49.13652801513672,33.32075119018555,51.4550895690918,56.83644485473633
2007-06-01,109.08221435546875,48.87842559814453,33.31632995605469,51.257835388183594,56.777679443359375
2007-06-04,109.09632110595703,49.101139068603516,33.34487533569336,51.34084701538086,56.846839904785156
2007-06-05,108.66450500488281,48.79274368286133,33.297298431396484,51.17494201660156,56.68564224243164
2007-06-06,107.49629211425781,48.769920349121094,33.25608444213867,51.21884536743164,56.70866012573242
2007-06-07,105.55655670166016,47.89617919921875,33.10076904296875,50.672279357910156,56.317195892333984
2007-06-08,106.92999267578125,47.85619354248047,33.012046813964844,50.6966552734375,56.248104095458984
2007-06-11,107.11408233642578,47.71915817260742,32.94230270385742,50.54048156738281,56.28841018676758
2007-06-12,105.94589233398438,47.02814483642578,32.77429962158203,50.26720428466797,55.95453643798828
2007-06-13,107.53173828125,47.58780288696289,32.83137130737305,50.48683166503906,56.040889739990234
2007-06-14,108.21843719482422,47.467891693115234,32.856746673583984,50.47218322753906,56.150238037109375
2007-06-15,108.83417510986328,47.793365478515625,32.850379943847656,50.672279357910156,56.35175704956055
2007-06-18,108.70619201660156,47.696285247802734,32.869384765625,50.667388916015625,56.392032623291016
2007-06-19,108.97640991210938,48.141746520996094,32.91058349609375,50.99435806274414,56.57053756713867
2007-06-20,107.46197509765625,47.753387451171875,32.61900329589844,50.750370025634766,56.39777374267578
2007-06-21,108.0591812133789,47.52494430541992,32.679229736328125,50.618568420410156,56.328704833984375
2007-06-22,107.0425033569336,47.8333625793457,32.74260711669922,50.75522232055664,56.461090087890625
2007-06-25,106.53050231933594,48.096065521240234,32.552433013916016,50.81382369995117,56.512901306152344
2007-06-26,105.43555450439453,48.10746765136719,32.647525787353516,50.80405807495117,56.4438362121582
2007-06-27,106.93579864501953,48.153141021728516,32.533416748046875,50.80405807495117,56.55325698852539
2007-06-28,106.92158508300781,48.141746520996094,32.36225509643555,50.750370025634766,56.512901306152344
2007-06-29,106.95711517333984,48.63856506347656,32.270328521728516,51.03832244873047,56.62229919433594
2007-07-02,107.92408752441406,48.89423370361328,32.523193359375,50.911808013916016,56.773189544677734
2007-07-03,108.31513214111328,48.596134185791016,32.46260070800781,50.9216194152832,56.70963668823242
