Date,BMOM,Signal,Position,Daily_Return,Equity_Curve,Drawdown
1997-12-11,0.005967696395451877,0,0,0.0,1.0,0.0
1997-12-12,0.01129438245214196,1,0,0.0,1.0,0.0
1997-12-15,0.010104282709081973,1,1,-0.0010482180293500676,0.9989517819706499,-0.0010482180293500676
1997-12-16,0.01154115030499846,1,1,0.0005723552418201994,0.9995235372593865,-0.0004764627406135258
1997-12-17,0.010580253499771708,1,1,-0.0009533797311468417,0.9985706117781592,-0.0014293882218407994
1997-12-18,0.013023786829701366,1,1,0.0015268632503100399,1.0000952925481228,0.0
1997-12-19,0.013634066716735081,1,1,0.0007622677465459748,1.0008576329331047,0.0
1997-12-22,0.013482545380297173,1,1,0.00028563267637826684,1.001143510577473,0.0
1997-12-23,0.009794380127665103,1,1,9.518370454975056e-05,1.0012388031255959,0.0
1997-12-24,0.009808269791305658,1,1,-9.517464547437182e-05,1.0011435105774733,-9.517464547428091e-05
1997-12-26,0.009335012041999867,1,1,9.518370454975056e-05,1.001238803125596,0.0
1997-12-29,0.00899701436864776,1,1,9.517464547448284e-05,1.001334095673719,0.0
1997-12-30,0.008063667218028547,1,1,-0.0007613247049866878,1.000571755288737,-0.0007613247049866896
1997-12-31,0.005512397675048719,1,1,-0.001619047619047631,0.9989517819706505,-0.0023791397030833495
1998-01-02,0.007875349256240382,1,1,0.0026709911284936716,1.001619973318087,0.0
1998-01-05,0.014466255683707173,1,1,0.0049471981733422155,1.0065751858204695,0.0
1998-01-06,0.016225985598761837,1,1,0.0017987314209977345,1.0083857442348014,0.0
1998-01-07,0.015569803220899691,1,1,-0.001417501417501299,1.0069563560129604,-0.0014175014175013864
1998-01-08,0.01863907622996036,1,1,0.0029336613986941096,1.0099104250047652,0.0
1998-01-09,0.020820468437362835,1,1,0.0033968673334592303,1.0133409567371838,0.0
1998-01-12,0.020232259151947242,1,1,0.00028211397404542815,1.013626834381552,0.0
1998-01-13,0.0185977346463293,1,1,-0.0010341261633919352,1.012578616352202,-0.0010341261633918964
1998-01-14,0.018567339479434453,1,1,-0.0009410878976097159,1.0116256908709744,-0.001974240857384689
1998-01-15,0.01663845010270737,1,1,-0.0012245666917859444,1.010386887745379,-0.0031963899595750123
1998-01-16,0.01400836735229658,1,1,-0.002074884466660376,1.0082904516866789,-0.0052646422863588055
1998-01-20,0.01315273280708149,1,1,0.0,1.0082904516866789,-0.0052646422863588055
