Date,Cash Weight,H5A4 Weight,C5A0 Weight,G5O2 Weight,Daily Return,Equity Curve
1997-12-11,0.1,0.0,0.0,0.9,0.0,1.0
1997-12-12,0.05,0.06499072132183038,0.4504826102988117,0.4345266683793579,0.002149202407106765,1.0021492024071068
1997-12-15,0.05,0.06875616871565339,0.2984750181208142,0.5827688131635324,-0.003356467819854957,0.998785520858534
1997-12-16,0.05,0.06875616871565339,0.2984750181208142,0.5827688131635324,0.0006544075241547451,0.9994391336184006
1997-12-17,0.05,0.06875616871565339,0.2984750181208142,0.5827688131635324,-0.0009737459331015168,0.9984659338266573
1997-12-18,0.05,0.06875616871565339,0.2984750181208142,0.5827688131635324,0.0014880643725110844,0.9999517154099506
1997-12-19,0.05,0.0781517563086837,0.36495353652426177,0.5068947071670544,0.0010848621330402201,1.0010365251608675
1997-12-22,0.05,0.057426944571530456,0.3320228186293818,0.5605502367990877,-0.0003187031453387999,1.0007174916716997
1997-12-23,0.05,0.05,0.20977059898980444,0.6902294010101956,-0.00014459938576021056,1.0005727885370845
1997-12-24,0.05,0.06796571923831121,0.13147910504596494,0.7505551757157238,-0.00015563635915881338,1.0004170630312033
1997-12-26,0.05,0.06796571923831121,0.13147910504596494,0.7505551757157238,0.00010910652308082129,1.0005262150585812
1997-12-29,0.05,0.0,0.1528898522952156,0.7971101477047844,7.729071649711442e-05,1.0006035464466172
1997-12-30,0.05,0.0,0.05,0.8999999999999999,-0.0007965855052251716,0.9998064801650409
1997-12-31,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.0011560819759424466,0.9986506219138916
1998-01-02,0.05,0.12,0.4049932574380027,0.4250067425619973,0.002229808854910369,1.000877421913597
1998-01-05,0.05,0.12,0.4049932574380027,0.4250067425619973,0.005092272378641771,1.0059741623636138
1998-01-06,0.05,0.12,0.4049932574380027,0.4250067425619973,0.0016562335800735936,1.0076402905520068
1998-01-07,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.0013724890070826849,1.0062573153301306
1998-01-08,0.05,0.12,0.4049932574380027,0.4250067425619973,0.002789532253435364,1.0090643025664991
1998-01-09,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0033497771681407587,1.0124444431284223
1998-01-12,0.05,0.12,0.4560672508431745,0.37393274915682545,0.00016730735858859513,1.0126138325339198
1998-01-13,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0012119876466692432,1.0113865570780423
1998-01-14,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0008171258705490696,1.0105601269571283
1998-01-15,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0022403977191144055,1.0082960703536654
1998-01-16,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0020001246200391457,1.0062793525590623
1998-01-20,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.000226708252680625,1.006051220725335
1998-01-21,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0011593805738949808,1.0072176169669873
1998-01-22,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0004304128460031631,1.0076511363680505
1998-01-23,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.00367103297287265,1.003952015821291
1998-01-26,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0014488634247489338,1.0054066051772172
1998-01-27,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0019245992112269013,1.003471600417931
1998-01-28,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.00011776599132586698,1.0033534255901404
1998-01-29,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0037126830250213474,1.007078558821426
1998-01-30,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0008569032874132349,1.0079415277491635
1998-02-02,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0027241195852456663,1.0051957744926396
1998-02-03,0.05,0.12,0.4560672508431745,0.37393274915682545,0.0006820397670986338,1.0058813579845631
1998-02-04,0.05,0.12,0.4560672508431745,0.37393274915682545,0.00018783501966090725,1.0060702977292166
1998-02-05,0.05,0.12,0.4560672508431745,0.37393274915682545,-0.0013014435257164023,1.0047609540538214
1998-02-06,0.05,0.12,0.40434534029675784,0.42565465970324223,-0.0001453644839348774,1.0046148974962574
