Date,Cash Weight,H5A4 Weight,C5A0 Weight,G5O2 Weight,Daily Return,Equity Curve
1997-12-11,0.1,0.0,0.0,0.9,0.0,1.0
1997-12-12,0.1,0.0,0.0,0.9,0.002149202407106765,1.0021492024071068
1997-12-15,0.1,0.0,0.0,0.9,-0.0009433962264150608,1.001203778631251
1997-12-16,0.1,0.0,0.0,0.9,0.0005151197176381794,1.0017195184389978
1997-12-17,0.1,0.0,0.0,0.9,-0.0008580417580321576,1.0008600012623412
1997-12-18,0.1,0.0,0.0,0.9,0.0013741769252790359,1.0022353599815108
1997-12-19,0.1,0.0,0.0,0.9,0.0006860409718913773,1.0029229345019364
1997-12-22,0.1,0.0,0.0,0.9,0.00025706940874044016,1.003180755307721
1997-12-23,0.1,0.0,0.0,0.9,8.56653340947755e-05,1.003266693122282
1997-12-24,0.1,0.0,0.0,0.9,-8.565718092693465e-05,1.0031807561256314
1997-12-26,0.1,0.0,0.0,0.9,8.56653340947755e-05,1.0032666939402624
1997-12-29,0.1,0.0,0.0,0.9,8.565718092703457e-05,1.0033526309369833
1997-12-30,0.1,0.0,0.0,0.9,-0.000685192234488019,1.002665141505812
1997-12-31,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.001457142857142868,1.0012041151567608
1998-01-02,0.05,0.12,0.4049932574380027,0.4250067425619973,0.002229808854910369,1.00343660895831
1998-01-05,0.05,0.12,0.4049932574380027,0.4250067425619973,0.005092272378641771,1.0085463814858264
1998-01-06,0.05,0.12,0.4049932574380027,0.4250067425619973,0.0016562335800735936,1.010216769869905
1998-01-07,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.0013724890070826849,1.008830258458488
1998-01-08,0.05,0.12,0.4049932574380027,0.4250067425619973,0.002789532253435364,1.0116444230026995
1998-01-09,0.05,0.12,0.4049932574380027,0.4250067425619973,0.0033497771681407587,1.0150332063931509
1998-01-12,0.05,0.12,0.4049932574380027,0.4250067425619973,0.00017217307248178215,1.0152079677789665
1998-01-13,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.0011789338839110113,1.0140111047065354
1998-01-14,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.000807847432155403,1.0131919384394212
1998-01-15,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.002102013193254385,1.0110621956175225
1998-01-16,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.001971616174606713,1.0090687690391096
1998-01-20,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.00020263037534460528,1.0088643010556906
1998-01-21,0.05,0.12,0.4049932574380027,0.4250067425619973,0.0011643259130463335,1.010038947904157
1998-01-22,0.05,0.12,0.4049932574380027,0.4250067425619973,0.0004400885132703599,1.0104834544430852
1998-01-23,0.05,0.12,0.4049932574380027,0.4250067425619973,-0.0036039765138345843,1.0068416958056539
