Price History: TLT-US,,,,,,,,,,
,,,,,,,,,,
.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
04/11/07,87.37,476200,,87.47,87.28,87.58,87.25,87.37,,
04/12/07,87.39,495043,0.02,87.50,87.28,87.57,87.31,87.39,0.02,0.02
04/13/07,87.12,557800,-0.31,87.41,87.01,87.47,87.12,87.12,-0.31,-0.29
04/16/07,87.60,833600,0.55,87.40,87.40,87.68,87.56,87.60,0.55,0.26
04/17/07,88.09,1254120,0.56,87.89,87.84,88.16,88.09,88.09,0.56,0.82
04/18/07,88.53,450776,0.50,88.37,88.36,88.56,88.43,88.53,0.50,1.33
04/19/07,88.38,1305815,-0.17,88.66,88.20,88.71,88.24,88.38,-0.17,1.16
04/20/07,88.15,664429,-0.26,88.45,88.06,88.45,88.17,88.15,-0.26,0.89
04/23/07,88.47,419000,0.36,88.14,88.04,88.59,88.41,88.47,0.36,1.26
04/24/07,88.80,881228,0.37,88.45,88.45,88.82,88.70,88.80,0.37,1.64
04/25/07,88.49,569000,-0.35,88.57,88.11,88.79,88.42,88.49,-0.35,1.28
04/26/07,87.85,2048304,-0.72,88.43,87.85,88.43,87.99,87.85,-0.72,0.55
04/27/07,87.83,428640,-0.02,88.01,87.78,88.05,87.80,87.83,-0.02,0.53
04/30/07,88.75,485700,1.05,88.33,88.25,88.75,88.69,88.75,1.05,1.58
05/01/07,88.49,487200,-0.29,88.58,88.11,88.64,88.40,88.81,0.07,1.65
05/02/07,88.44,443901,-0.06,88.44,88.29,88.48,88.40,88.76,-0.06,1.60
05/03/07,88.24,427618,-0.23,88.37,88.01,88.37,88.14,88.56,-0.23,1.37
05/04/07,88.60,262000,0.41,88.52,88.50,88.64,88.57,88.92,0.41,1.78
05/07/07,88.84,210175,0.27,88.70,88.67,88.85,88.73,89.17,0.27,2.05
05/08/07,88.64,488322,-0.23,89.01,88.64,89.01,88.63,88.96,-0.23,1.83
05/09/07,88.29,634900,-0.39,88.65,88.26,88.66,88.20,88.61,-0.39,1.42
05/10/07,88.50,519452,0.24,88.40,88.31,88.59,88.38,88.82,0.24,1.66
05/11/07,88.19,1238400,-0.35,88.64,88.13,88.70,88.13,88.51,-0.35,1.31
05/14/07,87.96,315200,-0.26,88.23,87.96,88.28,88.01,88.28,-0.26,1.04
05/15/07,87.93,382400,-0.03,88.19,87.66,88.21,87.80,88.25,-0.03,1.01
05/16/07,87.87,599440,-0.07,87.86,87.83,88.00,87.90,88.19,-0.07,0.94
05/17/07,87.51,397000,-0.41,87.60,87.41,87.72,87.44,87.83,-0.41,0.53
05/18/07,86.93,856434,-0.66,87.35,86.88,87.50,86.92,87.25,-0.66,-0.14
05/21/07,87.19,821063,0.30,86.93,86.83,87.24,87.14,87.51,0.30,0.16
05/22/07,86.74,920500,-0.52,87.18,86.68,87.20,86.68,87.06,-0.52,-0.36
05/23/07,86.49,914447,-0.29,86.84,86.31,86.84,86.35,86.81,-0.29,-0.64
05/24/07,86.57,1598400,0.09,86.46,85.96,86.59,86.41,86.89,0.09,-0.55
05/25/07,86.37,754895,-0.23,86.40,86.33,86.61,86.40,86.69,-0.23,-0.78
05/29/07,86.36,1055700,-0.01,86.51,85.83,86.57,86.35,86.68,-0.01,-0.79
05/30/07,86.54,612000,0.21,86.79,86.39,86.79,86.40,86.86,0.21,-0.59
05/31/07,86.38,1725900,-0.18,86.56,86.04,86.58,86.46,86.70,-0.18,-0.77
06/01/07,85.59,1694300,-0.91,85.90,85.54,86.84,85.54,86.24,-0.52,-1.29
06/04/07,85.98,877700,0.46,85.83,85.67,86.02,86.00,86.64,0.46,-0.84
06/05/07,85.44,1145400,-0.63,85.89,85.38,85.94,85.50,86.09,-0.63,-1.46
06/06/07,85.40,1129152,-0.05,85.36,85.26,85.54,85.33,86.05,-0.05,-1.51
06/07/07,83.87,5010374,-1.79,84.63,83.73,84.71,84.04,84.51,-1.79,-3.27
06/08/07,83.80,5307599,-0.08,83.61,83.36,84.12,83.88,84.44,-0.08,-3.36
06/11/07,83.56,2043725,-0.29,83.49,83.26,83.89,83.68,84.20,-0.29,-3.63
06/12/07,82.35,9047946,-1.45,82.91,82.20,83.42,82.46,82.98,-1.45,-5.03
06/13/07,83.33,8751200,1.19,82.70,82.65,83.76,83.30,83.96,1.19,-3.90
06/14/07,83.12,3384620,-0.25,83.14,83.05,83.71,83.06,83.75,-0.25,-4.14
06/15/07,83.69,5827200,0.69,83.42,83.20,83.73,83.49,84.33,0.69,-3.48
06/18/07,83.52,17704600,-0.20,83.63,82.24,83.65,83.64,84.16,-0.20,-3.68
06/19/07,84.30,4620065,0.93,83.82,83.72,84.45,84.21,84.94,0.93,-2.78
06/20/07,83.62,3031700,-0.81,84.02,83.59,84.08,83.82,84.26,-0.81,-3.56
06/21/07,83.22,850400,-0.48,83.54,83.21,83.70,83.29,83.85,-0.48,-4.02
06/22/07,83.76,2118900,0.65,83.05,82.95,83.77,83.61,84.40,0.65,-3.40
06/25/07,84.22,1323500,0.55,84.15,83.96,84.35,84.31,84.86,0.55,-2.87
06/26/07,84.24,2187780,0.02,84.29,83.97,84.32,84.04,84.88,0.02,-2.85
06/27/07,84.32,6109300,0.09,84.61,84.20,84.74,84.45,84.96,0.09,-2.76
06/28/07,84.30,3612493,-0.02,84.32,84.18,84.58,84.13,84.94,-0.02,-2.78
06/29/07,85.17,1962104,1.03,84.85,84.64,85.30,85.21,85.82,1.03,-1.78
07/02/07,85.29,2811660,0.14,84.81,84.81,85.37,85.19,86.27,0.52,-1.26
07/03/07,84.77,1387475,-0.61,85.25,84.71,85.34,84.68,85.74,-0.61,-1.86
07/05/07,83.82,4589941,-1.12,84.31,83.72,84.42,83.76,84.78,-1.12,-2.96
07/06/07,83.48,1437714,-0.41,83.54,83.28,83.55,83.26,84.44,-0.41,-3.36
07/09/07,83.78,795400,0.36,83.87,83.68,83.93,83.65,84.74,0.36,-3.01
07/10/07,85.20,2257968,1.69,84.48,84.43,85.20,84.97,86.18,1.69,-1.37
07/11/07,84.32,1191300,-1.03,84.95,84.32,85.09,84.44,85.29,-1.03,-2.38
07/12/07,84.03,1941109,-0.34,84.55,83.87,84.58,84.12,84.99,-0.34,-2.72
07/13/07,84.26,725900,0.27,84.45,83.94,84.55,84.34,85.23,0.27,-2.45
07/16/07,85.07,952000,0.96,84.52,84.52,85.11,85.08,86.05,0.96,-1.52
07/17/07,84.89,734125,-0.21,84.86,84.50,85.09,84.70,85.86,-0.21,-1.72
07/18/07,85.21,1836795,0.38,84.93,84.81,85.54,85.37,86.19,0.38,-1.35
07/19/07,85.19,1020988,-0.02,84.90,84.80,85.26,85.20,86.17,-0.02,-1.38
07/20/07,85.96,1461250,0.90,85.38,85.32,86.08,85.79,86.95,0.90,-0.49
07/23/07,85.82,777900,-0.16,85.69,85.69,85.97,85.81,86.80,-0.16,-0.65
07/24/07,86.14,1351575,0.37,86.01,85.72,86.16,85.86,87.13,0.37,-0.28
07/25/07,86.31,881068,0.20,86.07,86.00,86.39,86.29,87.30,0.20,-0.08
07/26/07,87.03,2866998,0.83,86.74,86.65,87.46,87.22,88.03,0.83,0.75
07/27/07,87.28,5364735,0.29,87.05,86.85,87.56,87.14,88.28,0.29,1.04
07/30/07,87.03,1803900,-0.29,87.19,86.91,87.36,88.31,88.03,-0.29,0.75
07/31/07,87.66,2467536,0.72,87.13,86.95,87.75,87.57,88.67,0.72,1.48
08/01/07,87.13,2154651,-0.60,87.26,87.09,87.54,87.31,88.47,-0.22,1.26
08/02/07,87.35,2079359,0.25,87.21,86.99,87.45,87.44,88.70,0.25,1.52
08/03/07,87.93,1577597,0.66,87.28,87.28,87.93,87.77,89.29,0.66,2.19
08/06/07,87.29,1298000,-0.73,87.70,87.17,87.72,87.33,88.64,-0.73,1.45
08/07/07,87.22,2573800,-0.08,87.43,86.92,87.71,87.40,88.56,-0.08,1.37
08/08/07,86.16,6471268,-1.22,86.89,85.86,86.89,86.05,87.49,-1.22,0.14
08/09/07,86.28,2637423,0.14,86.75,85.72,86.86,86.07,87.61,0.14,0.28
08/10/07,86.08,1496400,-0.23,86.49,85.98,86.70,86.24,87.41,-0.23,0.04
08/13/07,86.33,1312600,0.29,85.92,85.90,86.40,86.32,87.66,0.29,0.33
08/14/07,86.56,1314700,0.27,86.02,86.01,86.78,86.62,87.89,0.27,0.60
08/15/07,86.25,1101700,-0.36,86.65,86.25,86.75,86.38,87.58,-0.36,0.24
08/16/07,87.14,2410200,1.03,86.87,86.76,87.60,87.43,88.48,1.03,1.27
08/17/07,86.79,2114400,-0.40,86.40,86.05,86.91,86.57,88.13,-0.40,0.87
08/20/07,86.84,1048680,0.06,86.96,86.83,87.27,87.00,88.18,0.06,0.93
08/21/07,87.26,1517200,0.48,87.10,87.05,87.41,87.32,88.61,0.48,1.41
08/22/07,87.12,1137787,-0.16,87.05,86.81,87.31,87.20,88.46,-0.16,1.25
08/23/07,87.42,1618800,0.34,87.09,87.03,87.68,87.60,88.77,0.34,1.60
08/24/07,87.85,1614514,0.49,87.77,87.56,88.08,88.03,89.20,0.49,2.10
08/27/07,88.31,1585400,0.52,88.28,88.15,88.48,88.34,89.67,0.52,2.63
08/28/07,88.46,1298900,0.17,88.43,88.28,88.74,88.45,89.82,0.17,2.81
08/29/07,88.22,2686700,-0.27,88.49,88.16,88.77,88.21,89.58,-0.27,2.53
08/30/07,88.79,1806800,0.65,88.61,88.47,88.96,88.93,90.16,0.65,3.19
08/31/07,88.88,2763200,0.10,88.59,88.54,89.20,88.85,90.25,0.10,3.30
09/04/07,88.56,930971,-0.36,88.83,88.20,89.13,88.46,90.29,0.05,3.35
09/05/07,89.27,1271500,0.80,88.76,88.72,89.35,89.24,91.02,0.80,4.17
09/06/07,89.04,1768399,-0.26,89.31,88.95,89.49,89.05,90.78,-0.26,3.91
09/07/07,90.30,2852165,1.42,89.75,89.69,90.50,90.30,92.07,1.42,5.38
09/10/07,91.00,2495150,0.78,90.50,90.50,91.27,90.96,92.78,0.78,6.19
09/11/07,90.93,3925339,-0.08,90.88,90.70,91.27,90.91,92.71,-0.08,6.11
09/12/07,90.59,4458250,-0.37,90.90,90.42,90.94,90.44,92.36,-0.37,5.71
09/13/07,89.78,2020535,-0.89,90.30,89.58,90.33,89.74,91.54,-0.89,4.77
09/14/07,89.91,1357170,0.14,90.58,89.62,90.59,89.97,91.67,0.14,4.92
09/17/07,90.34,1285400,0.48,89.82,89.76,90.39,90.10,92.11,0.48,5.42
09/18/07,89.66,3132800,-0.75,89.80,89.00,90.24,89.62,91.41,-0.75,4.63
09/19/07,88.83,3854630,-0.93,88.71,88.37,89.01,88.82,90.57,-0.93,3.66
09/20/07,87.15,5903200,-1.89,88.18,87.10,88.29,87.33,88.86,-1.89,1.70
09/21/07,87.89,2217600,0.85,87.58,87.58,88.13,87.93,89.61,0.85,2.56
09/24/07,88.14,1943590,0.28,88.03,87.91,88.28,88.14,89.86,0.28,2.86
09/25/07,87.83,2513420,-0.35,88.50,87.83,88.62,88.01,89.55,-0.35,2.49
09/26/07,87.91,2646389,0.09,87.62,87.43,88.13,87.94,89.63,0.09,2.59
09/27/07,88.52,1802900,0.69,88.24,88.15,88.78,88.68,90.25,0.69,3.30
09/28/07,88.72,1254645,0.23,89.16,88.22,89.33,88.73,90.46,0.23,3.53
10/01/07,88.88,1289400,0.18,88.69,88.43,88.98,88.82,90.97,0.57,4.12
10/02/07,89.16,887800,0.32,88.75,88.68,89.37,89.07,91.26,0.32,4.45
10/03/07,88.90,1164600,-0.29,89.33,88.73,89.43,88.94,90.99,-0.29,4.14
10/04/07,89.24,1128700,0.38,89.01,88.91,89.32,89.21,91.34,0.38,4.54
10/05/07,88.28,2184700,-1.08,88.31,87.71,88.44,87.92,90.36,-1.08,3.42
10/08/07,88.21,280100,-0.08,87.77,87.77,88.50,87.95,90.29,-0.08,3.34
10/09/07,88.10,901000,-0.12,88.16,87.78,88.36,88.01,90.17,-0.12,3.21
10/10/07,88.15,855500,0.06,87.98,87.79,88.43,88.06,90.22,0.06,3.27
10/11/07,88.06,1533402,-0.10,87.52,87.45,88.09,87.83,90.13,-0.10,3.16
10/12/07,87.63,1133900,-0.49,87.52,87.48,88.18,87.55,89.69,-0.49,2.66
10/15/07,87.65,553300,0.02,87.48,87.40,87.72,87.61,89.71,0.02,2.68
10/16/07,87.68,855500,0.03,87.65,87.54,87.98,87.53,89.74,0.03,2.72
10/17/07,88.64,2377000,1.09,87.77,87.77,88.95,88.82,90.73,1.09,3.84
10/18/07,89.13,1374100,0.55,89.11,89.02,89.34,89.24,91.23,0.55,4.41
10/19/07,90.46,2561800,1.49,89.63,89.61,90.60,90.33,92.59,1.49,5.97
10/22/07,90.47,1866500,0.01,90.58,90.07,90.65,90.59,92.60,0.01,5.98
10/23/07,90.35,1046516,-0.13,90.26,90.10,90.52,90.36,92.48,-0.13,5.84
10/24/07,91.02,2829300,0.74,90.71,90.56,91.39,91.06,93.16,0.74,6.63
10/25/07,90.71,3062200,-0.34,91.06,90.70,91.18,90.89,92.84,-0.34,6.27
10/26/07,90.50,1366471,-0.23,90.37,90.34,91.00,90.59,92.63,-0.23,6.02
10/29/07,90.85,881000,0.39,90.50,90.48,90.99,90.84,92.99,0.39,6.43
10/30/07,90.80,1439600,-0.06,90.73,90.42,91.01,90.73,92.94,-0.06,6.37
10/31/07,89.98,2498481,-0.90,90.50,89.75,90.70,89.77,92.10,-0.90,5.41
11/01/07,90.75,2549400,0.86,89.96,89.96,91.01,90.70,93.29,1.29,6.77
11/02/07,91.04,1927700,0.32,90.45,90.21,91.54,91.36,93.59,0.32,7.11
11/05/07,91.00,997500,-0.04,91.16,90.80,91.39,91.11,93.54,-0.04,7.07
11/06/07,90.56,575800,-0.48,90.60,90.48,91.15,90.67,93.09,-0.48,6.55
11/07/07,90.72,1456100,0.18,90.54,90.32,90.76,90.53,93.26,0.18,6.74
11/08/07,90.56,2179530,-0.18,90.65,90.43,90.94,90.67,93.09,-0.18,6.55
11/09/07,91.33,887179,0.85,91.04,90.93,91.59,91.43,93.88,0.85,7.46
11/12/07,91.66,460535,0.36,91.99,91.35,91.99,91.47,94.22,0.36,7.84
11/13/07,91.32,1116502,-0.37,91.42,91.17,91.49,91.39,93.87,-0.37,7.44
11/14/07,91.42,684374,0.11,90.95,90.92,91.51,91.41,93.98,0.11,7.56
11/15/07,92.28,1312847,0.94,91.61,91.49,92.56,92.36,94.86,0.94,8.57
11/16/07,92.41,1333749,0.14,92.27,92.21,92.70,92.50,94.99,0.14,8.73
11/19/07,93.01,1343826,0.65,92.54,92.41,93.42,93.14,95.61,0.65,9.43
11/20/07,92.91,1367727,-0.11,93.09,92.80,93.29,93.06,95.51,-0.11,9.31
11/21/07,93.45,1297750,0.58,93.40,93.24,93.58,93.27,96.06,0.58,9.95
11/23/07,93.73,437327,0.30,93.44,93.31,93.80,93.71,96.35,0.30,10.28
11/26/07,95.58,4426981,1.97,94.22,94.12,96.36,95.78,98.25,1.97,12.46
11/27/07,94.67,3100232,-0.95,94.96,93.99,95.25,94.67,97.32,-0.95,11.39
11/28/07,94.03,2088003,-0.68,94.56,93.84,94.69,94.03,96.66,-0.68,10.63
11/29/07,94.84,1594418,0.86,94.82,94.66,95.42,94.77,97.49,0.86,11.59
11/30/07,94.38,1952069,-0.49,93.88,93.74,94.39,94.17,97.02,-0.49,11.04
12/03/07,94.75,1272636,0.39,94.76,94.28,95.10,94.42,97.79,0.79,11.92
12/04/07,94.74,1721173,-0.01,94.90,94.15,95.06,94.55,97.78,-0.01,11.91
12/05/07,93.61,1865912,-1.19,94.22,93.56,94.47,93.97,96.61,-1.19,10.58
12/06/07,92.79,2270166,-0.88,93.32,92.54,93.34,92.81,95.76,-0.88,9.61
12/07/07,91.75,2170931,-1.12,92.18,91.38,92.35,91.41,94.69,-1.12,8.38
12/10/07,91.20,2242470,-0.60,91.64,90.75,91.69,91.12,94.12,-0.60,7.73
12/11/07,92.99,2892313,1.96,91.73,91.58,93.23,92.79,95.97,1.96,9.84
12/12/07,92.03,2225400,-1.03,91.45,91.27,92.65,92.17,94.98,-1.03,8.71
12/13/07,91.03,1222100,-1.09,91.61,90.90,91.82,91.11,93.95,-1.09,7.53
12/14/07,90.61,1354900,-0.46,90.79,90.50,90.92,90.49,93.51,-0.46,7.03
12/17/07,91.42,2046198,0.89,91.07,90.93,91.54,91.00,94.35,0.89,7.99
12/18/07,92.01,1417079,0.65,91.59,91.55,92.30,92.02,94.96,0.65,8.69
12/19/07,93.23,2252350,1.33,92.40,91.88,93.56,92.65,96.22,1.33,10.13
12/20/07,93.03,1659361,-0.21,93.26,93.02,93.87,93.28,96.01,-0.21,9.89
12/21/07,91.67,1767549,-1.46,92.90,91.66,92.92,91.69,94.61,-1.46,8.28
12/24/07,91.24,550257,-0.47,91.22,91.08,91.47,91.15,94.16,-0.47,7.78
12/26/07,90.44,674700,-0.88,91.02,90.28,91.63,90.37,93.34,-0.88,6.83
12/27/07,91.06,468600,0.69,90.88,90.51,91.16,90.86,94.35,1.09,7.99
12/28/07,92.48,1967735,1.56,91.65,91.50,92.58,92.16,95.82,1.56,9.67
12/31/07,93.05,1647529,0.61,92.78,92.60,93.28,92.91,96.41,0.61,10.34
01/02/08,94.38,2959550,1.43,93.25,93.20,94.73,94.40,97.79,1.43,11.93
01/03/08,94.25,1256670,-0.14,94.00,93.67,94.38,94.15,97.66,-0.14,11.77
01/04/08,94.27,2420134,0.02,94.50,94.20,94.79,94.33,97.68,0.02,11.80
01/07/08,94.68,1315456,0.43,94.18,94.03,94.78,94.69,98.10,0.43,12.28
01/08/08,94.57,1604760,-0.12,94.44,93.93,94.71,94.46,97.99,-0.12,12.15
01/09/08,94.75,2203500,0.19,94.79,94.62,95.30,94.94,98.17,0.19,12.37
01/10/08,93.47,2681774,-1.35,94.87,93.31,94.95,93.33,96.85,-1.35,10.85
01/11/08,94.20,1872860,0.78,93.52,93.40,94.28,94.03,97.60,0.78,11.71
01/14/08,94.55,906058,0.37,94.20,94.00,94.55,94.35,97.97,0.37,12.13
01/15/08,95.61,1435230,1.12,95.16,95.07,95.63,95.44,99.07,1.12,13.39
01/16/08,94.92,3505070,-0.72,95.68,94.73,95.89,95.05,98.35,-0.72,12.57
01/17/08,96.15,2940500,1.30,94.96,94.93,96.29,95.97,99.63,1.30,14.03
01/18/08,95.49,2676795,-0.69,95.55,95.22,95.77,95.37,98.94,-0.69,13.24
01/22/08,96.51,5423460,1.07,96.41,95.30,96.62,96.45,100.00,1.07,14.45
01/23/08,96.29,7636565,-0.23,97.98,95.88,98.16,97.15,99.77,-0.23,14.19
01/24/08,94.36,5676629,-2.00,95.55,94.34,95.75,94.66,97.77,-2.00,11.90
01/25/08,95.95,4371047,1.69,94.19,94.13,96.00,95.64,99.42,1.69,13.79
01/28/08,95.59,1633446,-0.38,95.68,95.36,96.00,95.73,99.04,-0.38,13.36
01/29/08,94.94,3100157,-0.68,95.28,94.58,95.32,95.01,98.37,-0.68,12.59
01/30/08,94.32,3467905,-0.65,94.69,93.59,94.77,93.78,97.73,-0.65,11.86
01/31/08,94.99,11440970,0.71,95.30,94.63,95.43,94.81,98.42,0.71,12.65
02/01/08,95.23,4163650,0.25,95.00,94.56,95.40,95.04,99.01,0.60,13.33
02/04/08,94.25,1729511,-1.03,94.39,94.13,94.66,94.32,97.99,-1.03,12.16
02/05/08,94.97,2594551,0.76,95.41,94.77,95.61,94.78,98.74,0.76,13.02
02/06/08,94.68,1339750,-0.31,94.63,94.36,94.85,94.40,98.44,-0.31,12.67
02/07/08,92.64,5419623,-2.15,94.53,92.05,94.53,92.76,96.32,-2.15,10.24
02/08/08,93.70,2832724,1.14,93.25,93.09,93.73,93.61,97.42,1.14,11.50
02/11/08,94.09,2960110,0.42,94.28,93.73,94.70,94.12,97.83,0.42,11.97
02/12/08,93.53,2897650,-0.60,93.32,92.96,93.65,93.35,97.25,-0.60,11.30
02/13/08,92.54,3697493,-1.06,92.93,92.40,93.42,92.81,96.22,-1.06,10.12
02/14/08,91.18,7504905,-1.47,91.80,90.66,92.10,91.08,94.80,-1.47,8.51
02/15/08,91.88,3687713,0.77,91.61,91.46,92.07,91.77,95.53,0.77,9.34
02/19/08,90.95,2911556,-1.01,91.14,90.64,91.70,91.05,94.56,-1.01,8.23
02/20/08,91.58,2550096,0.69,90.62,90.56,91.58,91.16,95.22,0.69,8.98
02/21/08,92.55,4197112,1.06,92.08,92.05,92.85,92.35,96.23,1.06,10.14
02/22/08,92.02,1959634,-0.57,92.49,91.87,92.85,91.98,95.68,-0.57,9.51
02/25/08,91.08,3460845,-1.02,91.95,90.65,92.14,90.95,94.70,-1.02,8.39
02/26/08,91.11,2618900,0.03,90.96,90.73,91.34,91.05,94.73,0.03,8.42
02/27/08,91.19,2494323,0.09,91.43,90.61,91.57,91.14,94.81,0.09,8.52
02/28/08,92.81,3410871,1.78,92.34,92.19,92.84,92.43,96.50,1.78,10.45
02/29/08,94.23,3821918,1.53,93.65,93.52,94.46,94.33,97.97,1.53,12.14
03/03/08,93.64,2036838,-0.63,93.67,93.25,94.20,93.90,97.72,-0.26,11.85
03/04/08,92.73,3401008,-0.97,93.94,92.53,94.12,93.10,96.77,-0.97,10.76
03/05/08,91.62,3871152,-1.20,93.06,91.50,93.06,91.56,95.61,-1.20,9.43
03/06/08,92.11,1342582,0.53,91.82,91.67,92.44,91.98,96.12,0.53,10.02
03/07/08,92.23,3601277,0.13,93.29,91.74,93.35,92.42,96.25,0.13,10.16
03/10/08,93.59,3578955,1.47,92.71,92.61,94.13,93.74,97.67,1.47,11.79
03/11/08,92.79,3309108,-0.85,93.00,92.21,93.03,92.59,96.83,-0.85,10.83
03/12/08,94.58,4752872,1.93,93.13,92.97,94.68,94.29,98.70,1.93,12.97
03/13/08,93.84,5763422,-0.78,95.03,93.26,95.19,93.73,97.93,-0.78,12.09
03/14/08,95.00,6174779,1.24,94.62,94.62,95.81,95.19,99.14,1.24,13.47
03/17/08,95.73,3329222,0.77,95.59,95.31,96.31,96.03,99.90,0.77,14.34
03/18/08,95.36,4022366,-0.39,95.30,94.95,96.16,95.38,99.52,-0.39,13.90
03/19/08,96.94,5206395,1.66,95.12,95.12,97.47,96.87,101.16,1.66,15.79
03/20/08,97.18,3905865,0.25,97.00,96.87,97.75,97.62,101.42,0.25,16.08
03/24/08,95.30,5596167,-1.94,96.48,95.20,96.48,95.63,99.45,-1.94,13.83
03/25/08,95.70,2038110,0.42,95.38,95.28,95.82,95.81,99.87,0.42,14.31
03/26/08,95.30,1651943,-0.42,95.78,95.23,96.20,95.38,99.45,-0.42,13.83
03/27/08,94.63,2405670,-0.70,94.64,94.54,95.36,94.76,98.75,-0.70,13.03
03/28/08,95.55,1745495,0.97,95.09,94.75,95.56,95.15,99.71,0.97,14.13
03/31/08,95.89,2546257,0.36,96.11,95.67,96.32,95.57,100.07,0.36,14.53
04/01/08,93.93,3821733,-2.04,94.81,93.78,94.85,94.19,98.45,-1.62,12.68
04/02/08,94.13,3794152,0.21,93.99,93.99,94.86,94.10,98.66,0.21,12.92
04/03/08,94.34,2839021,0.22,94.50,94.12,94.67,94.12,98.88,0.22,13.17
04/04/08,95.20,1745200,0.91,95.17,94.99,95.56,95.22,99.78,0.91,14.20
04/07/08,94.70,2231757,-0.53,94.62,93.90,94.78,94.53,99.25,-0.53,13.60
04/08/08,94.37,1305186,-0.35,95.18,94.26,95.24,94.33,98.91,-0.35,13.21
04/09/08,95.35,2883511,1.04,94.56,94.55,95.64,95.44,99.94,1.04,14.38
04/10/08,95.03,1846442,-0.34,95.31,94.57,95.50,95.01,99.60,-0.34,14.00
04/11/08,95.67,1987631,0.67,95.60,95.47,95.92,95.58,100.27,0.67,14.77
04/14/08,95.11,3197033,-0.59,95.34,94.99,95.70,95.09,99.68,-0.59,14.09
04/15/08,93.93,2821558,-1.24,94.42,93.90,94.58,94.20,98.45,-1.24,12.68
04/16/08,93.01,4691055,-0.98,93.80,92.43,94.06,92.64,97.48,-0.98,11.58
04/17/08,92.85,2019991,-0.17,92.98,92.24,93.18,92.61,97.32,-0.17,11.38
04/18/08,92.77,2199677,-0.09,92.00,91.82,92.88,92.61,97.23,-0.09,11.29
04/21/08,93.14,2805712,0.40,92.41,92.30,93.28,93.24,97.62,0.40,11.73
04/22/08,93.46,1799762,0.34,92.91,92.91,93.67,93.28,97.96,0.34,12.12
04/23/08,93.15,1221004,-0.33,93.09,92.53,93.63,93.17,97.63,-0.33,11.74
04/24/08,92.36,3213516,-0.85,92.26,91.81,92.46,92.38,96.80,-0.85,10.80
04/25/08,91.82,1741990,-0.58,92.14,91.50,92.25,91.78,96.24,-0.58,10.15
04/28/08,92.10,1883822,0.30,91.53,91.41,92.35,92.08,96.53,0.30,10.48
04/29/08,92.45,1269090,0.38,92.38,92.15,92.86,92.26,96.90,0.38,10.90
04/30/08,93.12,2827414,0.72,92.42,91.85,93.20,92.95,97.59,0.72,11.70
05/01/08,92.78,3226439,-0.36,93.44,92.38,93.65,92.89,97.59,0.00,11.70
05/02/08,91.61,2730742,-1.26,91.78,91.54,92.41,91.86,96.36,-1.26,10.29
05/05/08,91.61,1309260,,91.86,91.14,91.87,91.68,96.36,,10.29
05/06/08,90.95,4037499,-0.72,92.01,90.79,92.08,90.85,95.67,-0.72,9.50
05/07/08,91.34,3876149,0.43,90.73,90.62,91.43,91.14,96.08,0.43,9.97
05/08/08,92.16,2829498,0.90,91.44,91.42,92.20,91.99,96.94,0.90,10.96
05/09/08,92.50,2064251,0.37,92.73,92.21,92.87,92.50,97.30,0.37,11.37
05/12/08,92.36,1947352,-0.15,92.76,92.35,93.16,92.55,97.15,-0.15,11.20
05/13/08,91.35,2123298,-1.09,91.83,91.31,92.05,91.27,96.09,-1.09,9.98
05/14/08,91.39,2600823,0.04,92.00,90.72,92.01,91.00,96.13,0.04,10.03
05/15/08,92.22,2164249,0.91,91.17,91.09,92.33,91.86,97.01,0.91,11.03
05/16/08,91.84,1902574,-0.41,91.88,91.78,92.89,91.84,96.61,-0.41,10.57
05/19/08,91.96,1348125,0.13,92.26,91.30,92.26,91.92,96.73,0.13,10.72
05/20/08,92.44,1465937,0.52,92.44,91.90,92.50,92.48,97.24,0.52,11.29
05/21/08,92.46,1762090,0.02,92.05,91.86,92.67,92.21,97.26,0.02,11.32
05/22/08,91.37,2855876,-1.18,91.93,90.84,91.93,91.31,96.11,-1.18,10.01
05/23/08,91.77,1802000,0.44,91.83,91.70,92.30,92.20,96.53,0.44,10.49
05/27/08,91.15,1985871,-0.68,91.38,90.98,91.56,91.08,95.88,-0.68,9.74
05/28/08,90.34,3250685,-0.89,90.54,90.14,90.66,90.38,95.03,-0.89,8.77
05/29/08,89.69,3302371,-0.72,90.01,89.14,90.10,89.53,94.34,-0.72,7.98
05/30/08,90.28,2514796,0.66,90.13,90.06,90.44,90.34,94.97,0.66,8.69
06/02/08,90.30,3076305,0.02,89.98,89.62,90.64,90.33,95.33,0.38,9.11
06/03/08,90.95,2447647,0.72,90.06,89.81,91.41,91.08,96.02,0.72,9.90
06/04/08,90.14,2812991,-0.89,91.39,89.90,91.39,90.30,95.16,-0.89,8.92
06/05/08,89.60,2632139,-0.60,89.82,89.45,90.03,89.68,94.59,-0.60,8.26
06/06/08,90.76,3864702,1.29,90.44,90.21,91.09,90.70,95.82,1.29,9.67
